Site,Year_est,Age,Lat_long,random,Field_area_checked,Field_area_order,Proximity_1km,Proximity_1km_order,Est_1green_2seed_3NR
1,2018,3,"51.581972, -1.5698756",1,79582,2,16.07,2,2
2,2002,19,"51.573901, -1.5757235",1,69127,2,13.3337407,2,2
3,1985,36,"51.577497, -1.5756901",1,133984,3,310.5372826,3,3
4,1986,35,"51.672127, -0.80258692",1,14296,1,0.698860586,1,2
5,2007,14,"51.514021, -1.1468383",1,31737,1,0.29860662,1,3
6,2000,21,"51.180671, -1.8053828",1,163201,3,13.43595587,2,1
7,2003,18,"51.173525, -1.8368821",1,121542,2,0.176858948,1,1
8,2009,12,"51.174443, -1.8511833",1,258314,3,8.210118086,2,1
9,2007,14,"51.176233, -1.8440251",1,377552,3,5.126109339,1,1
10,2005,16,"51.178922, -1.8382937",1,469287,3,274.3415212,3,1
11,2002,19,"51.187837, -1.7896132",1,170684,3,28.07542909,2,1
12,2010,11,"51.186129, -1.8482842",1,254085,3,1.508230025,1,1
13,2011,10,"51.191528, -1.8511284",1,257089,3,3.397255693,1,1
14,2000,21,"51.176193, -1.8168457",1,98770,2,39.44468218,2,1
15,2000,21,"51.636798, -0.98266944",1,12010,1,9.339285899,2,3
16,1994,27,"51.044386, -1.3149275",1,16432,1,277.4045882,3,1
17,2013,8,"51.201778, -2.0354461",1,147250,3,0.019471267,1,2
18,2020,1,"51.067692, -2.0945983",1,98417,2,19.71699783,2,2
19,2020,1,"51.065799, -2.1094648",1,83494,2,3477.6144,3,2
20,1990,31,"51.06271, -0.97732036",1,156090,3,24.63923502,2,2
21,2002,19,"51.251319, -1.5766624",1,88126,2,38.97645305,2,2
22,1995,26,"51.601942, -1.7635665",1,28639,1,0.572397878,1,2
23,2000,21,"51.022422, -1.1006408",1,94847,2,0.720344221,1,2
24,2006,15,"51.161815, -1.6959767",1,59160,1,2.923295238,1,1
25,2010,11,"51.1619, -1.7045994",1,45381,1,437.5802062,3,1
26,2007,14,"51.152332, -1.6771517",1,45668,1,1057.778721,3,1
27,2016,5,"51.151728, -1.6796151",1,79433,2,26.82593178,2,1
28,2005,16,"51.40943, -1.9352946",1,102953,2,70.15022619,3,1
29,1998,23,"51.403524, -1.9572835",1,77816,2,0.201893365,1,1
30,2019,2,"51.401133, -1.9586514",1,68322,2,0.262691336,1,1
31,2016,5,"51.385079, -1.917395",1,44670,1,4.833198844,1,2
32,2017,4,"51.386837, -1.8900159",1,53407,1,103113.1324,3,2
33,2010,11,"51.381505, -1.9000725",1,59977,1,153.1572251,3,2
34,2014,7,"51.385634, -1.8739384",1,294637,3,230.507293,3,1
35,2012,9,"51.377859, -1.8606121",1,19140,1,113.8076262,3,2
36,2015,6,"51.376513, -1.8056466",1,119740,2,101.7247634,3,2
37,2012,9,"51.35093, -1.827423",1,54284,1,16.52581204,2,2
38,2014,7,"51.033048, -1.811306",1,84795,2,14.13061506,2,2
39,2002,19,"51.013962, -1.8750607",1,235141,3,13.70157636,2,2
40,1998,23,"51.018447, -1.8810649",1,249653,3,1.298983158,1,2
41,2000,21,"51.026001, -1.8728325",1,158533,3,24.52504366,2,2
42,2010,11,"51.007455, -1.9346701",1,147749,3,0.456632285,1,1
43,2014,7,"50.988091, -2.0300532",1,96672,2,5.744138693,1,2
44,2017,4,"50.9956, -2.0303288",1,45808,1,1031.602233,3,2
45,2009,12,"50.99216, -2.0455866",1,55963,1,6488.683019,3,2
46,2009,12,"50.982907, -2.0441957",1,17602,1,101.7627587,3,2
47,2014,7,"51.007466, -2.0772007",1,244724,3,2280.007089,3,2
48,2018,3,"51.004926, -2.0837525",1,66534,2,0.68035698,1,2
49,2010,11,"51.486882, -1.7990143",1,172315,3,152.4823958,3,1
50,2008,13,"51.46188, -1.8294093",1,24917,1,75269.5856,3,3
51,2014,7,"51.456096, -1.7651546",1,172769,3,57.23059351,2,1
52,2015,6,"51.44507, -1.8198169",1,81885,2,31.48096699,2,1
53,2015,6,"51.452995, -1.7800368",1,65786,1,6.679281008,1,2
54,2013,8,"51.451928, -1.7767752",1,119737,2,7.23334591,2,2
55,2015,6,"51.452806, -1.7611995",1,63348,1,10.46714774,2,2
56,1994,27,"51.171925, -1.0602025",1,173235,3,5.143448208,1,2
57,2000,21,"51.303843, -1.3999827",1,67066,2,3.207246003,1,2
58,2002,19,"51.306529, -1.399589",1,66054,1,153.567866,3,2
59,1957,64,"50.980853, -1.9457471",1,127842,2,2117.86468,3,3
60,1945,76,"51.174381, -1.9140803",1,257355,3,6.814784828,2,3
61,TARGET,NA,"50.967378, -1.9217813",1,3582983,NA,0.95735293,NA,1
62,TARGET,NA,"51.045025, -1.3120365",1,605638,NA,278.3720051,NA,1
63,TARGET,NA,"51.17132, -1.9224106",1,1601892,NA,27.29321885,NA,1
64,2006,15,"50.964513, -0.3751305",1,55511,NA,0.042670983,NA,1
65,2003,18,"50.961836, -0.3766479",1,47808,NA,0.003171756,NA,1
66,2005,16,"50.966251, -0.37079737",1,126693,NA,0.078165811,NA,1
