Site_code,Site,Lat_long,random,Age,Proximity_1km,Proximity_1km_order,area_polygon,Field_area_order
EW01,1,"52.756082, -1.543909",1,14,28395.48535,3,7.040892136,3
EW02,2,"52.729843, -1.270792",1,17,2178.034858,2,6.985657547,3
EW03,3,"52.73389, -0.586773",1,13,37688.65603,3,32.49804049,3
EW04,4,"52.730296, -1.637001",1,27,21348.74455,2,18.19222711,3
EW05,5,"52.56917, -0.521718",1,22,23.25629835,1,4.51345181,2
EW06,6,"52.789529, -1.533541",1,23,6076.78147,2,4.624844749,2
EW07,7,"52.71782, -1.522272",1,30,57.28582348,1,2.010706573,1
EW08,8,"52.081732, -1.675876",1,27,1534.73745,1,1.607897621,1
EW09,9,"52.808495, -1.515471",1,39,5483.712466,2,4.605210654,2
EW10,10,"52.641345, -0.701666",1,47,6408.617388,2,1.47005588,1
EW11,11,"52.664586, -0.688354",1,47,5652.325129,2,7.588190474,3
EW12,12,"52.622789, -1.777949",1,47,160.5752595,1,1.251580875,1
EW13,13,"52.340251, -0.862316",1,66,1.687828557,1,3.753883055,2
EW14,14,"52.856723, -1.209229",1,62,21624.09609,3,4.550787578,2
EW15,15,"52.068924, -1.669889",1,67,177.1851523,1,1.620825724,1
EW16,16,"52.741864, -1.533764",1,19,14703.34558,2,8.013246873,3
EW17,17,"52.628435, -1.80477",1,16,20328.51317,2,1.460104906,1
EW18,18,"52.734488, -1.512651",1,18,15652.82393,2,3.38927784,2
EW19,19,"52.658848, -1.318807",1,26,7834.293944,2,4.725637946,2
EW20,20,"52.558562, -1.548808",1,23,1858.134354,1,1.572182389,1
EW21,21,"52.755982, -1.564003",1,27,83416.9438,3,7.740524165,3
EW22,22,"52.113464, -0.99361",1,36,1.27360076,1,3.79550253,2
EW23,23,"52.739361, -1.342591",1,27,46119.24564,3,2.645135079,2
EW24,24,"52.694273, -1.409693",1,24,79254.88077,3,2.842050356,2
EW25,25,"52.880204, -1.633586",1,62,14981.68912,2,5.207879649,2
EW26,26,"52.967832, -1.97744",1,42,5160.831385,2,2.703440813,2
EW27,27,"52.731512, -0.540671",1,52,531.5293219,1,5.301411986,2
EW28,28,"52.637636, -0.557803",1,57,17278.6893,2,10.03206001,3
EW29,29,"52.25187, -0.739177",1,67,10321.98,2,8.6924457,3
EW30,30,"52.28445, -0.658578",1,57,73867.06089,3,4.168915148,2
SW01,31,"55.887179, -3.768477",1,18,38056.9141,3,11.31728194,3
SW02,32,"56.190041, -4.228521",1,50,3.387171384,1,0.918763984,1
SW03,33,"56.227539, -3.958744",1,61,3326.108389,2,2.401162758,2
SW04,34,"56.388001, -3.859457",1,26,2476.014815,2,1.86268499,1
SW05,35,"56.218856, -3.198302",1,25,117843.2885,3,4.931079394,2
SW06,36,"55.945685, -3.537207",1,19,15146.25059,2,2.572604627,2
SW07,37,"56.207113, -4.011024",1,18,37823.98345,3,1.313539143,1
SW08,38,"56.204276, -3.301869",1,40,90646.71878,3,1.000697037,1
SW09,39,"56.292556, -3.583933",1,24,24188.52462,3,20.2696588,3
SW10,40,"55.989934, -4.36654",1,29,46501.61661,3,5.805210693,3
SW11,41,"56.359385, -3.769469",1,31,49.89262612,1,2.521492379,2
SW12,42,"55.984995, -3.875677",1,35,1423.773328,1,3.058703311,2
SW13,43,"56.147641, -3.964318",1,66,0.276680736,1,0.673750943,1
SW14,44,"56.190993, -4.26408",1,58,147517.3162,3,0.691607146,1
SW15,45,"56.125677, -4.133179",1,57,6494.0592,2,1.752687551,1
SW16,46,"55.850337, -3.594937",1,36,25796.53016,3,8.983113769,3
SW17,47,"55.811104, -3.90206",1,28,1185.065928,1,5.691816916,3
SW18,48,"56.105932, -3.90942",1,56,1649.125522,1,8.217519637,3
SW19,49,"55.774996, -3.986264",1,56,4349.573222,2,1.333850448,1
SW20,50,"55.805528, -4.037045",1,46,892.14737,1,3.226445968,2
SW21,51,"56.076542, -3.609983",1,26,24590.61333,3,0.91258373,1
SW22,52,"55.884022, -4.117268",1,20,40050.39035,3,11.96903898,3
SW23,53,"55.855179, -3.632432",1,41,155.3111989,1,26.03896697,3
SW24,54,"55.793179, -3.830107",1,30,125086.4997,3,15.34960948,3
SW25,55,"56.141758, -3.357325",1,36,21618.56857,3,1.057698869,1
SW26,56,"55.839488, -3.637554",1,36,244.7695739,1,12.1975209,3
SW27,57,"56.300638, -3.231528",1,66,160.6382664,1,1.74133709,1
SW28,58,"55.963258, -4.046556",1,36,48030.29319,3,6.428692293,3
SW29,59,"55.944626, -3.468022",1,36,5.474367265,1,1.075360983,1
SW30,60,"55.864916, -3.9177",1,56,4394.603052,2,2.242547849,1
WC01,61,"50.965686, -0.365298",1,22,4463.413133,NA,15.6954279,NA
WC02,62,"50.889602, -0.643314",1,7,239729.605,NA,4.355351453,NA
WC03,63,"55.96275, -4.333972",1,322,144048.7168,NA,42.54722444,NA
WC04,64,"56.0235, -4.396583",1,272,14.93274207,NA,2.460399886,NA
WC05,65,"52.72646, -1.296173",1,472,1890.058572,NA,11.31694692,NA
WC06,66,"52.112924, -0.547927",1,672,1340.798671,NA,16.90322811,NA
